Group,Contour,Depth,Gp,Block,pH,N,Dens,P,Ca,Mg,K,Na,Conduc
13,Top,0-10,T0,1,6.08,0.3256,0.704,257.6,19.22,8.78,0.144,0.968,0.908
13,Top,0-10,T0,2,6.2,0.298,0.848,249.2,14.3,5.78,0.142,0.728,1.22
13,Topk,0-10,T0,3,5.768,0.412,0.74,359.6,15.224,6.416,0.136,0.32,1.292
13,Top,0-10,T0,4,5.768,0.3028,0.92,297.2,13.904,9.056,0.218,0.812,1.568
14,Top,10-30,T1,1,5.768,0.2968,0.944,208.4,16.604,9.344,0.14,2.204,1.82
14,Top,10-30,T1,2,5.72,0.2128,1.064,154.4,9.86,7.904,0.162,2.804,3.416
14,Top,10-30,T1,3,5.24,0.22,1.424,140,10.088,9.392,0.078,3.584,4.592
14,Top,10-30,T1,4,4.952,0.2344,1.364,203.6,10.988,10.592,0.14,4.112,5.768
15,Top,30-60,T3,1,4.844,0.2344,0.884,144.8,10.22,12.02,0.148,6.488,6.476
15,Top,30-60,T3,2,4.868,0.1696,1.448,137.6,5.276,7.892,0.154,6.62,7.34
15,Top,30-60,T3,3,4.604,0.1936,1.112,134,7.148,9.14,0.052,5.96,9.644
15,Top,30-60,T3,4,4.268,0.184,1.304,140,7.532,11.312,0.082,9.56,10.652
16,Top,60-90,T6,1,4.256,0.1924,1.1,152,7.292,12.752,0.112,11.204,12.368
16,Top,60-90,T6,2,4.484,0.1552,1.448,108.8,4.184,7.532,0.1,8.804,11.684
16,Top,60-90,T6,3,4.256,0.166,1.436,108.8,5.576,9.2,0.046,10.136,13.112
16,Top,60-90,T6,4,4.088,0.1636,1.28,94.4,6.632,11.768,0.082,12.848,14.18
17,Slope,0-10,S0,1,5.732,0.3964,0.728,312.8,15.5,8.66,0.122,1.832,2.732
17,Slope,0-10,S0,2,6.152,0.4576,0.752,359.6,14.36,8.6,0.136,2,1.976
17,Slope,0-10,S0,3,6.332,0.274,0.92,290,11.192,7.712,0.126,0.812,0.512
17,Slope,0-10,S0,4,6.62,0.3232,1.04,274.4,16.136,8.144,0.124,3.308,3.02
18,Slope,10-30,S1,1,5.084,0.2224,1.244,186.8,9.896,11.504,0.126,4.004,3.488
18,Slope,10-30,S1,2,5.732,0.2164,1.16,166.4,9.896,10.028,0.084,5.24,5.156
18,Slope,10-30,S1,3,5.336,0.2464,1.16,256.4,9.464,8.9,0.064,3.284,4.004
18,Slope,10-30,S1,4,7.604,0.1996,1.304,158,14.816,11.072,0.11,9.56,9.32
19,Slope,30-60,S3,1,4.352,0.1708,1.436,117.2,5.36,11.6,0.072,7.424,8.864
19,Slope,30-60,S3,2,4.4,0.16,1.4,137.6,5.672,10.292,0.056,9.092,11.336
19,Slope,30-60,S3,3,4.544,0.2032,1.46,177.2,6.992,8.696,0.032,7.268,10.484
19,Slope,30-60,S3,4,5.588,0.1576,1.352,116,8.588,10.856,0.08,11.24,10.556
20,Slope,60-90,S6,1,4.16,0.1588,1.376,129.2,4.184,10.16,0.048,11.084,13.484
20,Slope,60-90,S6,2,4.352,0.1432,1.136,123.2,5.336,8.348,0.048,11.204,13.304
20,Slope,60-90,S6,3,4.316,0.1576,1.304,130.4,5.516,8.564,0.028,11.18,15.584
20,Slope,60-90,S6,4,4.424,0.1468,1.412,119.6,6.392,10.208,0.074,12.248,13.484
21,Depression,0-10,D0,1,5.888,0.3328,0.8,533.6,14.324,7.124,0.144,0.824,0.5
21,Depression,0-10,D0,2,5.84,0.4072,0.536,455.6,13.268,8.66,0.156,1.556,2.24
21,Depression,0-10,D0,3,5.96,0.2632,0.8,310.4,11.552,9.296,0.09,1.964,2.324
21,Depression,0-10,D0,4,6.404,0.2524,0.956,297.2,10.544,8.048,0.11,1.316,0.404
22,Depression,10-30,D1,1,4.952,0.2044,1.088,330.8,8.288,10.88,0.086,4.604,5.696
22,Depression,10-30,D1,2,5.492,0.2104,1.364,189.2,8.444,12.284,0.118,5.684,7.244
22,Depression,10-30,D1,3,5.348,0.1564,1.352,144.8,7.988,11.492,0.06,5.78,7.784
22,Depression,10-30,D1,4,6.032,0.214,1.112,233.6,9.908,9.992,0.096,4.604,3.98
23,Depression,30-60,D3,1,4.328,0.1648,1.52,177.2,5.42,11.144,0.036,8.24,11.768
23,Depression,30-60,D3,2,5.024,0.1612,1.436,137.6,7.208,11.336,0.068,9.824,11.288
23,Depression,30-60,D3,3,4.82,0.1384,1.46,98,6.788,11.276,0.044,8.024,9.92
23,Depression,30-60,D3,4,5.168,0.178,1.352,182,4.916,12.248,0.044,8.732,10.508
24,Depression,60-90,D6,1,4.184,0.1456,1.28,125.6,5.18,11.42,0.036,11.78,14.312
24,Depression,60-90,D6,2,4.688,0.142,1.364,119.6,5.072,10.34,0.066,12.212,13.148
24,Depression,60-90,D6,3,4.664,0.136,1.472,116,5.948,9.644,0.028,9.524,11.012
24,Depression,60-90,D6,4,4.892,0.1696,1.496,155.6,5.096,10.952,0.028,10.736,14.828
